fund_id,price_dt,price,volume,net_value_dt,net_value,est_val_dt,est_val,est_val_increase_rt,est_error_rt,discount_rt,amount_dt,amount,amount_incr,amount_increase_rt,ref_increase_rt,is_est,code,est_val2
162703,2025-10-22,1.591,228.380,2025-10-22,1.5996,2025-10-22,1.5981,,-0.09,-0.54,,25090,-6,-0.020,-0.99,0,162703,
162703,2025-10-23,1.59,427.140,2025-10-23,1.5899,2025-10-23,1.6075,,1.11,0.01,,25082,-8,-0.030,0.49,0,162703,
162703,2025-10-24,1.618,454.620,2025-10-24,1.6652,2025-10-24,1.6159,,-2.96,-2.83,,25043,-39,-0.160,1.63,0,162703,
162703,2025-10-27,1.667,721.450,2025-10-27,1.707,2025-10-27,1.6749,,-1.88,-2.34,,25017,-26,-0.100,0.58,0,162703,
162703,2025-10-28,1.702,1377.590,2025-10-28,1.6991,2025-10-28,1.7161,,1.00,0.17,,25007,-10,-0.040,0.53,0,162703,
162703,2025-10-29,1.703,914.780,2025-10-29,1.7237,2025-10-29,1.7163,,-0.43,-1.2,,24954,-53,-0.210,1.01,0,162703,
162703,2025-10-30,1.667,613.610,2025-10-30,1.6822,2025-10-30,1.6908,,0.51,-0.9,,24740,-214,-0.860,-1.91,0,162703,
162703,2025-10-31,1.655,397.100,2025-10-31,1.6723,2025-10-31,1.6656,,-0.40,-1.03,,24688,-52,-0.210,-0.99,0,162703,
162703,2025-11-03,1.666,359.930,2025-11-03,1.6928,2025-11-03,1.6769,,-0.94,-1.58,,24666,-22,-0.090,0.28,0,162703,
162703,2025-11-04,1.657,446.960,2025-11-04,1.6615,2025-11-04,1.6702,,0.52,-0.27,,24569,-97,-0.390,-1.33,0,162703,
162703,2025-11-05,1.647,556.960,2025-11-05,1.6546,2025-11-05,1.6522,,-0.15,-0.46,,24247,-322,-1.310,-0.56,0,162703,
162703,2025-11-06,1.681,548.160,2025-11-06,1.702,2025-11-06,1.6839,,-1.06,-1.23,,24119,-128,-0.530,1.77,0,162703,
162703,2025-11-07,1.673,222.290,2025-11-07,1.6905,2025-11-07,1.6828,,-0.46,-1.04,,24105,-14,-0.060,-1.13,0,162703,
162703,2025-11-10,1.673,197.950,2025-11-10,1.7153,2025-11-10,1.6862,,-1.70,-2.47,,24038,-67,-0.280,-0.25,0,162703,
162703,2025-11-11,1.684,352.190,2025-11-11,1.6753,2025-11-11,1.6930,,1.06,0.52,,23986,-52,-0.220,-1.30,0,162703,
162703,2025-11-12,1.663,356.840,2025-11-12,1.6868,2025-11-12,1.6708,,-0.95,-1.41,,23974,-12,-0.050,-0.27,0,162703,
162703,2025-11-13,1.707,660.530,2025-11-13,1.7117,2025-11-13,1.7173,,0.33,-0.27,,23932,-42,-0.180,1.81,0,162703,
162703,2025-11-14,1.673,315.520,2025-11-14,1.6621,2025-11-14,1.6827,,1.24,0.66,,23890,-42,-0.180,-1.70,0,162703,
162703,2025-11-17,1.654,458.230,2025-11-17,1.6458,2025-11-17,1.6561,,0.63,0.5,,23809,-81,-0.340,-0.36,0,162703,
162703,2025-11-18,1.635,310.290,2025-11-18,1.6359,2025-11-18,1.6375,,0.10,-0.06,,23792,-17,-0.070,-0.50,0,162703,
162703,2025-11-19,1.628,161.870,2025-11-19,1.6222,2025-11-19,1.6360,,0.85,0.36,,23770,-22,-0.090,0.00,0,162703,
162703,2025-11-20,1.59,352.110,2025-11-20,1.5992,2025-11-20,1.5997,,0.03,-0.58,,23757,-13,-0.050,-1.39,0,162703,
162703,2025-11-21,1.546,396.210,2025-11-21,1.5388,2025-11-21,1.5561,,1.12,0.47,,23649,-108,-0.450,-2.70,0,162703,
