fund_id,price_dt,price,volume,net_value_dt,net_value,est_val_dt,est_val,est_val_increase_rt,est_error_rt,discount_rt,amount_dt,amount,amount_incr,amount_increase_rt,ref_increase_rt,is_est,code,est_val2
161038,2025-10-22,1.422,6.170,2025-10-22,1.4274,2025-10-22,1.4321,,0.33,-0.38,,80,0,0.000,-0.33,0,161038,
161038,2025-10-23,1.422,5.620,2025-10-23,1.4217,2025-10-23,1.4319,,0.72,0.02,,80,0,0.000,0.32,0,161038,
161038,2025-10-24,1.436,4.180,2025-10-24,1.457,2025-10-24,1.4366,,-1.40,-1.44,,80,0,0.000,1.05,0,161038,
161038,2025-10-27,1.461,6.800,2025-10-27,1.4846,2025-10-27,1.4745,,-0.68,-1.59,,80,0,0.000,1.20,0,161038,
161038,2025-10-28,1.47,3.690,2025-10-28,1.4817,2025-10-28,1.4794,,-0.16,-0.79,,80,0,0.000,-0.35,0,161038,
161038,2025-10-29,1.485,9.570,2025-10-29,1.5037,2025-10-29,1.5014,,-0.15,-1.24,,80,0,0.000,1.33,0,161038,
161038,2025-10-30,1.488,17.100,2025-10-30,1.4783,2025-10-30,1.4842,,0.40,0.66,,80,0,0.000,-1.30,0,161038,
161038,2025-10-31,1.484,1.850,2025-10-31,1.4554,2025-10-31,1.4480,,-0.51,1.97,,80,0,0.000,-2.05,0,161038,
161038,2025-11-03,1.433,0.480,2025-11-03,1.4519,2025-11-03,1.4587,,0.47,-1.3,,80,0,0.000,0.23,0,161038,
161038,2025-11-04,1.425,3.710,2025-11-04,1.4304,2025-11-04,1.4411,,0.75,-0.38,,80,0,0.000,-0.75,0,161038,
161038,2025-11-05,1.418,1.850,2025-11-05,1.4356,2025-11-05,1.4321,,-0.24,-1.23,,80,0,0.000,0.12,0,161038,
161038,2025-11-06,1.439,0.510,2025-11-06,1.463,2025-11-06,1.4603,,-0.18,-1.64,,80,0,0.000,1.72,0,161038,
161038,2025-11-07,1.461,5.080,2025-11-07,1.4526,2025-11-07,1.4555,,0.20,0.58,,70,-10,-12.500,-0.51,0,161038,
161038,2025-11-10,1.455,0.300,2025-11-10,1.4442,2025-11-10,1.4509,,0.46,0.75,,70,0,0.000,-0.12,0,161038,
161038,2025-11-11,1.427,6.000,2025-11-11,1.4274,2025-11-11,1.4268,,-0.04,-0.03,,70,0,0.000,-1.20,0,161038,
161038,2025-11-12,1.427,1.430,2025-11-12,1.4241,2025-11-12,1.4295,,0.38,0.2,,70,0,0.000,0.15,0,161038,
161038,2025-11-13,1.438,6.880,2025-11-13,1.4436,2025-11-13,1.4421,,-0.10,-0.39,,70,0,0.000,1.26,0,161038,
161038,2025-11-14,1.421,9.560,2025-11-14,1.4173,2025-11-14,1.4172,,-0.01,0.26,,70,0,0.000,-1.83,0,161038,
161038,2025-11-17,1.424,0.010,2025-11-17,1.4104,2025-11-17,1.4100,,-0.03,0.96,,70,0,0.000,-0.52,0,161038,
161038,2025-11-18,1.424,0.000,2025-11-18,1.3997,2025-11-18,1.4033,,0.26,1.74,,70,0,0.000,-0.51,0,161038,
161038,2025-11-19,1.424,1.000,2025-11-19,1.4003,2025-11-19,1.4060,,0.41,1.69,,70,0,0.000,0.45,0,161038,
161038,2025-11-20,1.411,0.070,2025-11-20,1.3933,2025-11-20,1.3941,,0.06,1.27,,70,0,0.000,-0.44,0,161038,
161038,2025-11-21,1.363,0.330,2025-11-21,1.3498,2025-11-21,1.3540,,0.31,0.98,,70,0,0.000,-2.82,0,161038,
161038,2025-11-24,1.359,0.010,2025-11-24,1.3574,2025-11-24,1.3475,,-0.73,0.12,,70,0,0.000,-0.17,0,161038,
161038,2025-11-25,1.387,6.100,2025-11-25,1.3798,2025-11-25,1.3778,,-0.14,0.52,,70,0,0.000,1.50,0,161038,
161038,2025-11-26,1.411,3.400,2025-11-26,1.3961,2025-11-26,1.3997,,0.26,1.07,,70,0,0.000,1.44,0,161038,
161038,2025-11-27,1.39,6.520,2025-11-27,1.3974,2025-11-27,1.3935,,-0.28,-0.53,,70,0,0.000,-0.18,0,161038,
161038,2025-11-28,1.403,4.440,2025-11-28,1.4091,2025-11-28,1.4012,,-0.56,-0.43,,70,0,0.000,0.27,0,161038,
161038,2025-12-01,1.405,1.790,2025-12-01,1.4234,2025-12-01,1.4268,,0.24,-1.29,,70,0,0.000,1.25,0,161038,
161038,2025-12-02,1.408,5.430,2025-12-02,1.4125,2025-12-02,1.4193,,0.48,-0.32,,70,0,0.000,-0.29,0,161038,
161038,2025-12-03,1.406,2.280,2025-12-03,1.4069,2025-12-03,1.4068,,-0.01,-0.06,,68,-2,-2.860,-0.40,0,161038,
161038,2025-12-04,1.402,1.020,2025-12-04,1.4121,2025-12-04,1.4153,,0.23,-0.72,,68,0,0.000,0.60,0,161038,
161038,2025-12-05,1.414,5.840,2025-12-05,1.4265,2025-12-05,1.4214,,-0.36,-0.88,,68,0,0.000,0.66,0,161038,
161038,2025-12-08,1.438,0.500,2025-12-08,1.4489,2025-12-08,1.4443,,-0.32,-0.75,,68,0,0.000,1.25,0,161038,
161038,2025-12-09,1.447,0.170,2025-12-09,1.4497,2025-12-09,1.4511,,0.10,-0.19,,68,0,0.000,0.15,0,161038,
161038,2025-12-10,1.44,1.670,2025-12-10,1.4555,2025-12-10,1.4483,,-0.49,-1.06,,68,0,0.000,-0.10,0,161038,
161038,2025-12-11,1.43,2.550,2025-12-11,1.4394,2025-12-11,1.4410,,0.11,-0.65,,68,0,0.000,-1.00,0,161038,
161038,2025-12-12,1.431,1.200,2025-12-12,1.455,2025-12-12,1.4501,,-0.34,-1.65,,68,0,0.000,0.75,0,161038,
